Appl_Type,Appl_No,Product_No,Patent_No,Patent_Expire_Date_Text,Drug_Substance_Flag,Drug_Product_Flag,Patent_Use_Code,Delist_Flag,Submission_Date
N,211675,1,11512092,"Oct 17, 2036",,,U-3371,,"Dec 16, 2022"
N,22264,1,9439906,"Jan 26, 2031",,,U-2758,,"Oct 11, 2016"
N,22264,1,9439906,"Jan 26, 2031",,,U-2757,,"Oct 11, 2016"
N,22264,2,9439906,"Jan 26, 2031",,,U-2757,,"Oct 11, 2016"
N,22264,2,9439906,"Jan 26, 2031",,,U-2758,,"Oct 11, 2016"
N,22264,3,9439906,"Jan 26, 2031",,,U-2758,,"Oct 11, 2016"
N,22264,3,9439906,"Jan 26, 2031",,,U-2757,,"Oct 11, 2016"
N,22264,4,9439906,"Jan 26, 2031",,,U-2757,,"Oct 11, 2016"
N,22264,4,9439906,"Jan 26, 2031",,,U-2758,,"Oct 11, 2016"
N,22264,5,9439906,"Jan 26, 2031",,,U-2758,,"Oct 11, 2016"
N,22264,5,9439906,"Jan 26, 2031",,,U-2757,,"Oct 11, 2016"
N,21064,1,10583207,"Dec 28, 2035",,,U-665,,"Apr 8, 2020"
N,21064,1,10583208,"Mar 16, 2037",,,U-665,,"Apr 8, 2020"
N,206192,1,10590102,"Jun 30, 2036",Y,Y,U-1776,,"Apr 8, 2020"
N,211192,1,10610125,"Jun 21, 2030",,,U-2784,,"Apr 28, 2020"
N,211192,1,10610125,"Jun 21, 2030",,,U-2785,,"Apr 28, 2020"
N,209627,1,10632066,"Feb 1, 2039",,,U-2786,,"Apr 29, 2020"
N,22387,1,10376525,"May 14, 2027",,,U-1849,,"Apr 29, 2020"
N,211192,1,10717764,"Jan 18, 2033",,,U-3215,,"Sep 24, 2021"
N,214962,1,10555902,"Jan 19, 2036",,,U-3268,,"Jan 11, 2022"
N,215430,1,9968568,"Nov 5, 2034",,,U-3419,,"Sep 16, 2022"
N,216340,1,10689377,"May 17, 2037",Y,Y,U-3490,,"Dec 20, 2022"
N,202428,1,10568859,"Feb 24, 2030",,Y,U-2760,,"Mar 25, 2020"
N,212728,1,8314117,"Feb 22, 2031",Y,Y,U-2718,,"Mar 25, 2020"
N,208259,1,10588901,"Mar 14, 2034",Y,Y,U-1524,,"Apr 15, 2020"
N,208232,1,11141457,"Dec 28, 2040",,,U-3232,,"Nov 4, 2021"
N,206406,1,11110081,"May 30, 2028",,,U-2678,,"Sep 16, 2021"
N,206406,2,11110081,"May 30, 2028",,,U-2678,,"Sep 16, 2021"
N,206406,3,11110081,"May 30, 2028",,,U-2678,,"Sep 16, 2021"
N,213433,1,11207332,"Nov 20, 2028",,Y,U-3280,,"Jan 24, 2022"
N,205422,1,9839637,"Apr 12, 2026",,Y,U-3281,,"Jan 9, 2018"
N,205422,2,9839637,"Apr 12, 2026",,Y,U-3281,,"Jan 9, 2018"
N,205422,3,9839637,"Apr 12, 2026",,Y,U-3281,,"Jan 9, 2018"
N,205422,4,9839637,"Apr 12, 2026",,Y,U-3281,,"Jan 9, 2018"
N,205422,5,9839637,"Apr 12, 2026",,Y,U-3281,,"Jan 9, 2018"
N,205422,6,9839637,"Apr 12, 2026",,Y,U-3281,,"Jan 9, 2018"
N,205422,1,8618109,"Apr 12, 2026",,,U-3281,,"Jul 17, 2015"
N,205422,2,8618109,"Apr 12, 2026",,,U-3281,,"Jul 17, 2015"
N,205422,3,8618109,"Apr 12, 2026",,,U-3281,,"Jul 23, 2015"
N,205422,4,8618109,"Apr 12, 2026",,,U-3281,,"Jul 23, 2015"
N,205422,5,8618109,"Apr 12, 2026",,,U-3281,,"Jul 23, 2015"
N,205422,6,8618109,"Apr 12, 2026",,,U-3281,,"Jul 23, 2015"
N,210933,1,10857096,"May 3, 2033",,,U-2985,,"Dec 28, 2020"
N,210565,1,10864219,"May 3, 2033",,,U-3011,,"Dec 28, 2020"
N,210951,1,10849888,"Sep 23, 2033",,,U-3013,,"Jan 5, 2021"
N,210951,1,10702508,"Apr 30, 2038",,,U-3012,,"Jan 5, 2021"
N,21064,1,11529431,"Mar 16, 2037",,,U-665,,"Jan 9, 2023"
N,21064,2,11529431,"Mar 16, 2037",,,U-665,,"Jan 9, 2023"
N,22253,1,RE38551,"Mar 17, 2022",Y,Y,U-2999,,
N,22253,2,RE38551,"Mar 17, 2022",Y,Y,U-2999,,
N,22253,3,RE38551,"Mar 17, 2022",Y,Y,U-2999,,
N,22253,4,RE38551,"Mar 17, 2022",Y,Y,U-2999,,
N,22254,1,RE38551,"Mar 17, 2022",Y,Y,U-2999,,
N,22255,1,RE38551,"Mar 17, 2022",Y,Y,U-2999,,
N,214094,1,10125102,"Apr 7, 2035",Y,,U-3010,,"Dec 23, 2020"
N,214094,1,10689346,"Mar 9, 2035",,,U-3010,,"Dec 23, 2020"
N,214094,1,10662160,"Nov 1, 2039",Y,,U-3010,,"Dec 23, 2020"
N,214094,2,10662160,"Nov 1, 2039",Y,,U-3010,,"Dec 23, 2020"
N,214094,2,10689346,"Mar 9, 2035",,,U-3010,,"Dec 23, 2020"
N,214094,2,10125102,"Apr 7, 2035",Y,,U-3010,,"Dec 23, 2020"
N,214517,1,10149829,"Jan 25, 2033",,,U-3006,,"Dec 21, 2020"
N,214517,1,9730910,"May 17, 2034",,,U-3005,,"Dec 21, 2020"
N,214517,1,9539234,"Jan 25, 2033",,,U-3004,,"Dec 21, 2020"
N,214517,1,5856529,"Dec 9, 2022",Y,Y,U-3003,,"Dec 21, 2020"
N,214517,1,10610510,"Jan 25, 2033",,,U-3009,,"Dec 21, 2020"
N,214517,1,10376487,"Jul 27, 2035",,,U-3007,,"Dec 20, 2020"
N,214517,1,10179119,"Aug 29, 2035",,,U-3003,,"Dec 21, 2020"
N,214517,1,10610511,"Oct 10, 2034",,,U-3007,,"Dec 21, 2020"
N,205677,1,9730910,"May 17, 2034",,,U-3005,,"Aug 22, 2017"
N,205677,1,5856529,"Dec 9, 2022",Y,Y,U-3003,,
N,205677,1,9539234,"Jan 25, 2033",,,U-3004,,"Jan 11, 2017"
N,205677,1,10376487,"Jul 27, 2035",,,U-3007,,"Sep 11, 2019"
N,205677,1,10149829,"Jan 25, 2033",,,U-3006,,"Dec 27, 2018"
N,205677,1,10610510,"Jan 25, 2033",,,U-3009,,"May 8, 2020"
N,205677,1,10610511,"Oct 10, 2034",,,U-3007,,"May 8, 2020"
N,205677,1,10610511,"Oct 10, 2034",,,U-2615,,"May 8, 2020"
N,205677,1,10179119,"Aug 29, 2035",,,U-3003,,"Dec 21, 2020"
N,209637,1,8536122,"Mar 20, 2026",Y,Y,U-2202,,"Dec 20, 2017"
N,209805,1,9439901,"Oct 21, 2030",,,U-2214,,"Jan 16, 2018"
N,208944,2,9867792,"Dec 2, 2030",,,U-2106,,"Jan 16, 2018"
N,207695,1,8168614,"Jan 20, 2030",,,U-1932,,"Jan 12, 2017"
N,206488,1,9243245,"Oct 27, 2028",Y,,U-2098,,"Aug 24, 2017"
N,206488,2,9243245,"Oct 27, 2028",Y,,U-2098,,"Aug 24, 2017"
N,202833,1,9820959,"Dec 18, 2026",,Y,U-1440,,"Nov 22, 2017"
N,205552,2,8476284,"Dec 28, 2026",,,U-1650,,"Jan 19, 2018"
N,208341,1,8580765,"Mar 21, 2028",Y,Y,U-1470,,"Jul 15, 2016"
N,22272,4,9492391,"Aug 24, 2027",,,U-1556,,"Nov 16, 2016"
N,22272,5,9492391,"Aug 24, 2027",,,U-1556,,"Nov 16, 2016"
N,206627,5,9492390,"Aug 24, 2027",,,U-1556,,"Nov 17, 2016"
N,206627,7,9492391,"Aug 24, 2027",,,U-1556,,"Nov 17, 2016"
N,202880,1,9610286,"Jul 25, 2033",,,U-1810,,"Apr 5, 2017"
N,209394,1,10028937,"Jun 10, 2030",,,U-2141,,"Aug 24, 2018"
N,205834,1,10039779,"Jan 30, 2034",Y,Y,U-2370,,"Aug 29, 2018"
N,204114,1,8952018,"Oct 15, 2030",,,U-2020,,"Sep 22, 2016"
N,202293,2,8329648,"Aug 18, 2026",,,U-2213,,"Nov 15, 2017"
N,208194,1,9597398,"Mar 15, 2033",,,U-1971,,"Mar 21, 2017"
N,209091,1,RE44186,"Jul 31, 2023",Y,Y,U-493,,"Mar 22, 2017"
N,207932,7,9655843,"Jul 23, 2027",,Y,U-1556,,"Jun 13, 2017"
N,205552,2,8952015,"Dec 28, 2026",,,U-1491,,"Jan 19, 2018"
N,205552,2,9540382,"Aug 18, 2033",,,U-1947,,"Jan 19, 2018"
N,205552,1,8563563,"Apr 26, 2027",,,U-1491,,"Jan 19, 2018"
N,206627,6,9545380,"Aug 24, 2027",,,U-1556,,"Jan 17, 2017"
N,206627,7,9545380,"Aug 24, 2027",,,U-1556,,"Jan 17, 2017"
N,22145,2,7435734,"Oct 21, 2022",,,U-900,,"Jun 23, 2017"
N,205552,1,8952015,"Dec 28, 2026",,,U-1946,,"Sep 1, 2017"
N,22416,1,9750747,"Aug 24, 2032",,,U-2121,,"Sep 28, 2017"
N,22416,4,9750747,"Aug 24, 2032",,,U-2121,,"Sep 28, 2017"
N,209394,1,9586978,"Nov 6, 2030",,,U-2141,,"Aug 29, 2017"
N,202833,1,9861603,"Dec 18, 2026",,,U-1440,,"Jan 16, 2018"
